ReleaseNumber|Code|TextSingular|TextPlural
14|1|applikatordosis|applikatordoser
14|2|beholder|beholdere
14|3|brev|breve
14|4|brusetablet|brusetabletter
14|5|bukkalfilm|bukkalfilm
14|6|dosis|doser
14|7|dråbe|dråber
14|8|engangspen|engangspenne
14|9|IE|IE
14|10|implantat|implantater
14|11|indgnidning|indgnidninger
14|12|inhalationskapsel|inhalationskapsler
14|13|injektionssprøjte|injektionssprøjter
14|14|kapsel|kapsler
14|15|liter|liter
14|16|mg|mg
14|17|ml|ml
14|18|måleske|måleskeer
14|19|pensling|penslinger
14|20|plaster|plastre
14|21|plastflaske|plastflasker
14|22|pudring|pudringer
14|23|pulver+solvens|pulver+solvens
14|24|pust|pust
14|25|påsmøring|påsmøringer
14|26|rektal stikpille|rektale stikpiller
14|27|rektalsprøjte|rektalsprøjte
14|28|rektaltube|rektaltuber
14|29|resoriblet|resoribletter
14|30|spiral|spiraler
14|31|stribe|striber
14|32|strømpe|strømper
14|33|sug|sug
14|34|sugetablet|sugetabletter
14|35|sæt breve A+B|sæt breve A+B
14|36|tablet|tabletter
14|37|tablet til rektal anvendelse|tabletter til rektal anvendelse
14|38|tube|tuber
14|39|tubule|tubuler
14|40|tyggegummi|tyggegummier
14|41|tyggetabletter|tyggetabletter
14|42|vaginalindlæg|vaginalindlæg
14|43|vaginalkapsel|vaginalkapsler
14|44|vaginaltablet|vaginaltabletter
14|45|vagitorie|vagitorier
14|46|vask|vaske
14|47|øjenlamel|øjenlamel
14|48|øjenskylning|øjenskylninger
